sites	reads	theta	acc
10	20	0.75	0.47
2	20	0.5	0.71
2	100	0.25	0.99
5	10	0.5	0.66
3	100	0.75	0.67
10	20	0.5	0.89
10	10	0.75	0.35
5	20	0.75	0.39
2	50	0.5	0.87
3	20	0.25	0.92
7	50	0.25	0.99
5	10	0.25	0.88
2	10	0.5	0.59
3	20	0.5	0.71
7	20	0.25	0.97
10	10	0.5	0.76
2	50	0.25	0.98
7	20	0.75	0.42
3	20	0.75	0.36
3	50	0.75	0.47
5	20	0.25	0.96
3	10	0.5	0.59
5	100	0.5	0.98
2	100	0.75	0.6
10	50	0.75	0.68
7	100	0.25	1.0
3	50	0.5	0.9
5	50	0.25	1.0
7	100	0.75	0.79
7	10	0.25	0.9
10	20	0.25	0.98
10	50	0.5	0.96
3	100	0.5	0.96
10	50	0.25	1.0
3	50	0.25	0.99
10	10	0.25	0.94
5	100	0.25	1.0
5	10	0.75	0.33
5	50	0.5	0.94
3	100	0.25	1.0
2	100	0.5	0.93
7	10	0.5	0.7
7	50	0.5	0.95
5	100	0.75	0.73
3	10	0.25	0.81
10	100	0.5	0.99
2	10	0.75	0.35
5	50	0.75	0.6
2	20	0.25	0.91
3	10	0.75	0.3
7	100	0.5	0.99
2	50	0.75	0.44
5	20	0.5	0.79
10	100	0.75	0.83
7	20	0.5	0.84
7	50	0.75	0.62
2	10	0.25	0.8
2	20	0.75	0.33
7	10	0.75	0.33
10	100	0.25	1.0
